Round,Circuit,Track Condition,Track Length [km],Average Speed [km/h],Total Turning [deg],Turning Density [deg/km],Lateral G-Weighted Turning Density [G-deg/km]
1,Melbourne,Dry,5.2160127605681925,246.45206444397414,1258.88590942483,241.35023574744795,717.1443593748495
2,Shanghai,Dry,5.352693682599989,210.370714049746,1848.2629875387324,345.29586356620484,987.2261180101407
3,Suzuka,Dry,5.754636624079348,235.39935920982927,1716.894192484177,298.3497142634707,983.0076966424467
4,Sakhir,Dry,5.31807307900099,209.60676111219414,1403.9583204496614,263.9975606941824,670.4870318105909
5,Jeddah,Dry,6.084677236169048,248.07362654917958,1598.5310432403862,262.7141886406503,783.4861823220741
6,Miami Gardens,Dry,5.324027654712658,219.78501401913047,1606.9646936313527,301.8325218894983,806.5178862412524
7,Imola,Dry,4.843539831030532,230.20571419631892,1111.8305177329244,229.54916373555795,671.453690053822
8,Monaco,Dry,3.254774578805004,163.59367645563896,1746.595688463517,536.6257005438399,1248.0820926954566
9,Barcelona,Dry,4.592024536631152,227.2409333463427,1468.1246404353474,319.7118457717144,1051.218368489955
10,Montréal,Dry,4.290666430678162,214.02069793185794,1119.3679992860216,260.8844144309535,584.9327946448509
11,Spielberg,Dry,4.2733235345267335,236.0754464871757,919.0641534584714,215.07010785230818,649.9189061615119
12,Silverstone,Dry,5.806093983824765,243.41296347366622,1597.8352384882335,275.1996855269055,843.090381534832
13,Spa-Francorchamps,Dry,6.9398410348939645,245.98213557763947,1678.9157900087641,241.92424315875078,733.5528042541443
14,Budapest,Dry,4.309463121472425,204.6745599782571,1557.7769088735338,361.4781853246917,1090.4393969133916
15,Zandvoort,Dry,4.1913751087668905,216.54590869989025,1587.4327690593093,378.737938711082,1335.2989227190938
16,Monza,Dry,5.735003453574956,259.4272663434247,914.1270890128527,159.39433976156107,412.79770633169204
17,Baku,Dry,5.934713357539665,209.0965760795658,1406.8625919587412,237.05653621356697,499.3254862075835
18,Marina Bay,Dry,4.8415195882096045,193.1290955180833,1555.5383919432293,321.2913556585377,771.4109814702288
19,Austin,Dry,5.407671043269123,208.44160766524848,1864.92400250696,344.8663921279408,1010.4609326812756
20,Mexico City,Dry,4.225560738314195,197.63962493397912,1359.1401092804365,321.64727794746386,692.6063595054196
21,São Paulo,Dry,4.211392956215035,216.1008247630879,1399.0818982602289,332.2135722802855,922.1565705883661
22,Las Vegas,Wet,6.131665801697848,198.71710391243084,1278.0493488434054,208.43428036953935,335.29198579128257
23,Lusail,Dry,5.365406260856039,239.53897530154097,1535.004777813787,286.0929262733742,1107.4746970493734
24,Yas Island,Dry,5.211741747472216,225.82225361944037,1476.9998386184664,283.3985086338625,899.7100641478173
